seed,timestep,scenario,emission_model,op_risk,N,E,B,F_daily,P,C,T,s2r,bme,slashed_total,fraud_captured_pct,op_slashed_total,op_exited_total,pid_integral,pid_emission_rate,avg_reputation,downtime_count,rho_corr,ensemble_seed
1022,1824,competitor,pid,True,9467,48517.0,87.94,395.41,1.48403,73763134.0,509642493,0.001813,0.001813,359635359,0.0004,7134,1428,-4.0075,0.4427,0.1728,102,0.08,1022
1023,1824,competitor,pid,True,9905,45175.0,121.86,408.58,0.993353,52903901.0,521731197,0.002698,0.002698,371713488,0.0004,17709,1443,-3.9492,0.4122,0.1823,122,0.08,1023
1024,1824,competitor,pid,True,9239,37702.0,75.79,383.03,1.559109,76506756.0,504630674,0.00201,0.00201,354619198,0.0006,11476,1481,-4.7787,0.344,0.1779,99,0.08,1024
1025,1824,competitor,pid,True,10094,27397.0,39.81,385.51,2.864326,44832639.0,512153812,0.001453,0.001453,362144310,0.0007,9502,1515,-5.0,0.25,0.1807,130,0.08,1025
1026,1824,competitor,pid,True,9942,27918.0,38.75,379.25,2.816477,32350274.0,516091247,0.001388,0.001388,366060347,0.0007,30900,1499,-4.9959,0.2548,0.1708,110,0.08,1026
1027,1824,competitor,pid,True,9181,80757.0,150.04,376.17,0.763728,59936740.0,500320055,0.001858,0.001858,350302809,0.0003,17246,1426,-2.1441,0.7369,0.1673,114,0.08,1027
1028,1824,competitor,pid,True,9691,46167.0,73.62,377.79,1.604847,54484971.0,503219819,0.001595,0.001595,353201916,0.0004,17903,1456,-4.0242,0.4213,0.178,123,0.08,1028
1029,1824,competitor,pid,True,10577,51113.0,44.52,372.24,2.510502,76799264.0,511702158,0.000871,0.000871,361688659,0.0004,13499,1441,-3.2521,0.4664,0.1715,137,0.08,1029
1000,1824,competitor,pid,True,9710,37145.0,64.79,431.94,1.985198,36702331.0,522996687,0.001744,0.001744,372981837,0.0005,14850,1562,-4.5657,0.3389,0.1727,127,0.1,1000
1001,1824,competitor,pid,True,10982,41509.0,67.5,475.5,2.219413,49333267.0,517373492,0.001626,0.001626,367358849,0.0004,14643,1410,-3.6142,0.3788,0.1633,189,0.1,1001
1002,1824,competitor,pid,True,9580,57544.0,70.67,398.71,1.706297,49811138.0,504667968,0.001228,0.001228,354653499,0.0004,14469,1483,-3.4541,0.5251,0.1758,117,0.1,1002
1003,1824,competitor,pid,True,11268,27397.0,29.18,480.57,4.835797,20762494.0,530897777,0.001065,0.001065,380867849,0.0007,29928,1520,-5.0,0.25,0.1811,142,0.1,1003
1004,1824,competitor,pid,True,10039,30266.0,72.63,445.23,1.745131,46084504.0,523798350,0.0024,0.0024,373780821,0.0008,17529,1545,-4.7852,0.2762,0.1815,119,0.1,1004
1005,1824,competitor,pid,True,10389,27397.0,42.65,412.72,3.025977,57509598.0,522746097,0.001557,0.001557,372717568,0.0006,28529,1500,-4.8558,0.25,0.1825,112,0.1,1005
1006,1824,competitor,pid,True,10387,27397.0,44.97,453.43,2.934325,37586455.0,516158609,0.001642,0.001642,366140358,0.0009,18251,1450,-4.8896,0.25,0.1628,113,0.1,1006
1007,1824,competitor,pid,True,10519,27397.0,58.76,441.97,2.355176,36693888.0,513098717,0.002145,0.002145,363082996,0.0007,15721,1504,-5.0,0.25,0.1732,131,0.1,1007
1008,1824,competitor,pid,True,10580,38092.0,52.95,485.61,2.884929,56301694.0,506746328,0.00139,0.00139,356725041,0.0004,21287,1463,-4.0402,0.3476,0.1679,127,0.1,1008
1009,1824,competitor,pid,True,11725,27397.0,25.25,496.31,5.829605,45234025.0,521163653,0.000922,0.000922,371141863,0.0005,21790,1499,-5.0,0.25,0.1718,172,0.1,1009
1010,1824,competitor,pid,True,10693,27397.0,47.63,478.93,2.935566,60464799.0,514411158,0.001739,0.001739,364394580,0.0007,16578,1472,-4.6294,0.25,0.1742,139,0.1,1010
1011,1824,competitor,pid,True,9010,48630.0,50.45,359.29,1.996594,82345392.0,502413903,0.001037,0.001037,352393556,0.0005,20347,1474,-4.3186,0.4438,0.1804,91,0.1,1011
1012,1824,competitor,pid,True,10700,43362.0,60.78,438.58,2.14666,41796417.0,515966039,0.001402,0.001402,365952892,0.0005,13147,1480,-3.6552,0.3957,0.1695,141,0.1,1012
